,molecule_chembl_id,units,IC50,smiles,pIC50
146,CHEMBL388739,nM,10,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)c4cccnc4)c[nH]3,8.0
147,CHEMBL388966,nM,10,C\C(=C/1\C(=O)Nc2ccc(NC(=O)N)cc12)\c3cc(CNC(=O)CO)c[nH]3,8.0
148,CHEMBL228042,nM,10.0,CNC(c1ccc(Cl)cc1)c2ccc(cc2)c3ncnc4[nH]cnc34,8.0
149,CHEMBL599847,nM,11,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(cc4)C(F)(F)F,7.958607314841775
150,CHEMBL228701,nM,11,NC(=O)Nc1ccc2NC(=O)\C(=C/c3cc(c[nH]3)C(=O)NCCN4CCCCC4)\c2c1,7.958607314841775
151,CHEMBL3667044,nM,11,Clc1cnc2nc(c3ccc(CN4CC(C4)c5nnc([nH]5)c6ccccn6)cc3)c(cn12)c7ccccc7,7.958607314841775
152,CHEMBL3672044,nM,11,CC(C)Nc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7,7.958607314841775
153,CHEMBL2177363,nM,11,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CN4CCC(F)CC4)c5ccc(Cl)cc5)c12,7.958607314841775
154,CHEMBL598207,nM,11,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(F)cc4F,7.958607314841775
155,CHEMBL1079175,nM,12,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,7.920818753952375
156,CHEMBL2177385,nM,12,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3CC[C@@H](C)c23)c4ccc(Cl)cc4,7.920818753952375
157,CHEMBL593813,nM,12.0,Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c(Cl)[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5,7.920818753952375
158,CHEMBL2177374,nM,12,C[C@@H]1C[C@@H](O)c2ncnc(N3CCN(CC3)C(=O)[C@H](CNCC4CC4)c5ccc(Cl)cc5)c12,7.920818753952375
159,CHEMBL599448,nM,12,NC1(CCN(CC1)c2ccnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,7.920818753952375
160,CHEMBL593490,nM,12.0,Cc1[nH]nc2ccc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6,7.920818753952375
161,CHEMBL260577,nM,12,NC(C1CCN(CC1)c2ccnc3[nH]ccc23)c4ccc(Cl)cc4,7.920818753952375
162,CHEMBL598013,nM,12,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ccnc4[nH]ncc34,7.920818753952375
163,CHEMBL3672085,nM,12,CSc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7,7.920818753952375
164,CHEMBL469590,nM,13,NCC(Cc1ccccc1)NC(=O)c2cc(Br)c(s2)c3ccnc4[nH]ccc34,7.886056647693163
165,CHEMBL3703110,nM,13,Cn1cncc1c2ccn3c(c4ccccc4)c(nc3c2)c5ccc(cc5)C6(N)CCC6,7.886056647693163
